{2148, 0000},
{9810, 0000},
{7632, 0000},
{7633, 0000},
{2452, 0000},
{7368, 0000},
{2158, 0000},
{2127, 0000},
{2154, 0000},
{6529, 0000},
{2427, 0000},
{2381, 0000},
{2156, 0000},
{7439, 0000},
{7840, 0000},
{9971, 0000},
{2152, 0000},
{2547, 0000},
{5944, 0000},
{2153, 0000},
{7366, 0000},
{2155, 0000},
{7440, 0000},
{8473, 0000},
{7591, 0000},
{7421, 0000},
{2519, 0000},
{8472, 0000},
{5954, 0000},
{7590, 0000},
{8891, 0000},
{2528, 0000},
{7387, 0000},
{2515, 0000},
{2514, 0000},
{2520, 0000},
{7431, 0000},
{8877, 0000},
{8928, 0000},
{8929, 0000},
{2671, 0000},
{2044, 0000},
{2458, 0000},
{2378, 0000},
{2464, 0000},
{5911, 0000},
{7618, 0000},
{3962, 0000},
{7457, 0000},
{7290, 0000},
{3965, 0000},
{2686, 0000},
{2401, 0000},
{7343, 0000},
{1958, 0000},
{7620, 0000},
{7379, 0000},
{7464, 0000},
{7463, 0000},
{2050, 0000},
{2403, 0000},
{2460, 0000},
{2483, 0000},
{2473, 0000},
{2229, 0000},
{5913, 0000},
{2168, 0000},
{7461, 0000},
{7449, 0000},
{7462, 0000},
{7364, 0000},
{2175, 0000},
{2450, 0000},
{2423, 0000},
{2509, 0000},
{5898, 0000},
{7407, 0000},
{2518, 0000},
{7452, 0000},
{3972, 0000},
{10580, 0000},
{2667, 0000},
{2398, 0000},
{2553, 0000},
{2541, 0000},
{7381, 0000},
{7441, 0000},
{7159, 0000},
{2669, 0000},
{7158, 0000},
{2406, 0000},
{7589, 0000},
{2463, 0000},
{2457, 0000},
{2125, 0000},
{2124, 0000},
{5879, 0000},
{2169, 0000},
{2477, 0000},
{2476, 0000},
{7902, 0000},
{2171, 0000},
{7437, 0000},
{5801, 0000},
{2434, 0000},
{2672, 0000},
{2796, 0000},
{1976, 0000},
{2146, 0000},
{2167, 0000},
{2033, 0000},
{2177, 0000},
{2492, 0000},
{2479, 0000},
{2498, 0000},
{7402, 0000},
{2396, 0000},
{2666, 0000},
{2513, 0000},
{7460, 0000},
{2490, 0000},
{2209, 0000},
{10575, 0000},
{1294, 0000},
{6500, 0000},
{2145, 0000},
{6300, 0000},
{8904, 0000},
{2143, 0000},
{2178, 0000},
{2214, 0000},
{2150, 0000},
{2149, 0000},
{1984, 0000},
{2176, 0000},
{8918, 0000},
{8901, 0000},
{2179, 0000},
{7405, 0000},
{8884, 0000},
{8903, 0000},
{7433, 0000},
{6553, 0000},
{2112, 0000},
{2164, 0000},
{2165, 0000},
{2151, 0000},
{2144, 0000},
{7896, 0000},
{8902, 0000},
{2174, 0000},
{2447, 0000},
{8887, 0000},
{2466, 0000},
{2646, 0000},
{2472, 0000},
{7455, 0000},
{2387, 0000},
{2162, 0000},
{2170, 0000},
{2393, 0000},
{2470, 0000},
{2462, 0000},
{2432, 0000},
{2402, 0000},
{2182, 0000},
{2197, 0000},
{9813, 0000},
{2487, 0000},
{2147, 0000},
{7456, 0000},
{7894, 0000},
{2133, 0000},
{9970, 0000},
{8870, 0000},
{8871, 0000},
{2645, 0000},
{2488, 0000},
{2130, 0000},
{2656, 0000},
{7412, 0000},
{7388, 0000},
{14333, 0000},
{7453, 0000},
{8926, 0000},
{8879, 0000},
{10578, 0000},
{7588, 0000},
{2663, 0000},
{7892, 0000},
{7459, 0000},
{7443, 0000},
{2183, 0000},
{2370, 0000},
{2377, 0000},
{7404, 0000},
{2208, 0000},
{8910, 0000},
{2071, 0000},
{7418, 0000},
{8912, 0000},
{3953, 0000},
{2187, 0000},
{8922, 0000},
{7416, 0000},
{7383, 0000},
{8920, 0000},
{2079, 0000},
{2374, 0000},
{3952, 0000},
{2213, 0000},
{7386, 0000},
{2207, 0000},
{2120, 0000},
{7458, 0000},
{2684, 0000},
{11209, 0000},
{3031, 0000},
{3731, 0000},
{2789, 0000},
{5880, 0000},
{5925, 0000},
{7391, 0000},
{5741, 0000},
{2475, 0000},
{2392, 0000},
{5892, 0000},
{5669, 0000},
{2419, 0000},
{7385, 0000},
{2383, 0000},
{5891, 0000},
{7417, 0000},
{2491, 0000},
{5885, 0000},
{5884, 0000},
{6103, 0000},
{5912, 0000},
{2201, 0000},
{7897, 0000},
{2436, 0000},
{7410, 0000},
{2195, 0000},
{6104, 0000},
{2134, 0000},
{5909, 0000},
{5910, 0000},
{5914, 0000},
{2173, 0000},
